TTT,HandoverMargin,Th_57,Th_58,Th_59,Th_60,Th_61,Th_62,Th_63,Th_64,Th_65,Th_66,Th_67,Th_68,Th_69,Th_70,Th_71,Th_72,Th_73,Th_74,Th_75,Th_76,Th_77,Th_78,Th_79,Th_80,Th_81,Th_82,Th_83,Th_84,Th_85,Th_86,Th_87,Th_88,Th_89,Th_90,Th_91,Th_92,Th_93,Th_94,Th_95,Th_96,Th_97,Th_98,Th_99,Th_100,Th_101,Th_102,Th_103,Th_104,Th_105,Th_106,Th_107,Th_108,Th_109,Th_110,Th_111,Th_112,Th_113,Th_114,Th_115,Th_116,Sum_Throughput(Mbps),Handover_Count
128,0,5.525419,0.513920,1.396149,11.363861,2.572715,0.921941,0.832005,11.508693,1.919803,1.613787,0.599184,0.826165,3.237696,1.737595,2.543515,0.712869,2.544683,19.889093,0.852640,0.694181,0.868992,4.647472,1.269616,1.213941,0.955424,3.479083,1.639872,1.376683,6.142123,2.389728,0.069691,2.660315,0.652912,0.829669,1.284800,0.712091,1.196421,17.004523,11.256016,0.999808,2.309136,3.772640,0.611643,0.399456,0.457077,1.438197,0.877557,12.866299,0.385051,1.261051,1.260661,0.622155,5.899957,8.211429,0.817989,9.118965,1.093637,1.011099,0.717541,8.434128,194.02076199999996,312,
128,1,5.239259,0.798133,1.287525,11.644181,1.285579,0.784507,1.054704,9.479099,1.776139,0.733504,0.649019,1.172672,4.061525,1.245867,2.386613,0.386997,2.299792,18.950800,1.095973,0.897024,0.959707,1.181237,2.095781,1.573296,0.866267,3.458059,1.746549,1.247813,6.361317,2.118752,0.000000,2.285387,1.092469,1.424181,2.982683,1.140357,1.365781,19.866901,8.657995,0.986181,1.943552,3.184747,0.422037,0.290053,0.574656,1.581472,0.822661,11.333104,0.373371,0.729221,1.243141,0.695349,6.084501,7.199941,1.314779,9.472091,1.245477,1.618459,1.037963,7.944347,187.7505469999999,190,
128,2,3.650389,0.603856,2.398683,11.013461,7.293381,0.851472,1.265333,9.177755,2.312251,0.894299,0.895856,1.200704,2.982683,1.026283,2.935184,0.921941,2.615541,18.640501,1.382523,0.926224,1.115440,4.435675,2.967109,1.452213,1.648048,3.361504,2.121867,1.451435,5.966923,2.283829,0.016741,5.532037,1.183963,1.242752,1.496208,1.122059,1.443259,19.861061,9.305067,1.051589,2.156128,3.265728,1.270395,0.566869,0.540005,1.156709,0.947637,10.953115,0.354683,0.900528,2.634229,0.836288,4.084496,7.257952,1.436251,8.114485,1.041856,1.637147,0.850304,8.544699,200.596603,183,
128,3,5.882437,0.647461,0.886512,10.886149,2.780619,0.902085,0.738176,10.037013,2.561424,0.830448,0.721824,1.678805,3.359947,2.214139,2.512757,0.332101,2.098117,18.821541,1.085072,0.860816,0.742459,1.410944,1.365781,1.311664,0.819547,2.924672,1.958736,1.501269,6.092677,2.127317,0.011291,3.234192,0.790736,1.254821,1.023168,0.567259,1.359941,19.141963,9.675323,1.072224,1.512949,3.338144,0.881840,0.569205,0.580496,2.983851,1.158656,12.440368,0.325872,2.354688,2.751808,0.766987,5.935776,8.477733,0.860427,6.738581,1.038741,0.959707,0.806699,9.521536,192.22749100000007,205,
128,4,5.474805,0.654859,1.735259,11.094443,0.927781,0.531829,0.608139,9.663253,2.146005,0.775163,0.635003,1.000197,2.931680,1.043803,2.653696,0.390501,2.467595,18.483600,1.485696,1.551883,0.608528,1.429632,2.397515,1.611451,1.222896,4.228160,1.828309,1.556555,6.700427,2.563371,0.000000,5.001376,0.870160,1.194475,1.397317,0.527157,3.261445,18.347723,8.793093,1.054704,2.529888,3.117392,0.450069,0.434107,0.525600,1.471680,1.035237,12.725749,0.355072,1.326848,2.466037,0.824219,5.973931,8.598816,0.782949,6.500309,1.108043,1.004480,0.630331,10.365221,193.07546200000004,150,
128,5,5.641051,0.471872,1.633253,11.009957,2.139776,0.899749,0.961264,10.504603,2.118752,0.907536,0.559472,1.118555,2.926619,2.506917,2.507696,0.175979,1.664789,19.599040,1.046528,1.317115,0.963211,4.198571,2.163915,1.523851,0.986181,3.148149,1.931093,0.994357,6.638523,2.329771,0.005840,2.815659,1.183184,1.396539,0.605413,1.199925,1.903061,19.560107,10.687979,0.883787,1.947835,3.070283,0.841349,0.441893,0.558693,1.382133,0.936347,12.030789,0.426320,0.931285,3.520741,0.839013,5.581483,11.484555,1.214331,6.425557,0.928560,1.447541,0.619429,4.396352,193.854128,142,
128,6,5.463125,0.511973,2.464869,12.058432,4.782571,0.600741,0.656416,9.433157,2.462144,0.840181,0.726496,0.916491,3.010325,2.452021,2.657200,0.342613,2.123035,15.692859,1.106096,0.956981,1.514896,2.952704,1.654667,1.385637,1.460389,2.953483,1.859067,1.450267,5.920981,2.617877,0.011291,3.461173,0.854976,1.035237,0.893131,0.613200,2.918053,19.820960,9.261072,1.037963,1.897221,2.721440,0.691456,0.522485,0.747131,2.425157,1.102203,12.379632,0.492117,1.216667,2.299403,0.880672,6.010528,8.100080,0.771659,6.096960,1.717349,1.054315,1.292197,8.494085,193.847507,114,
256,0,5.234197,0.656805,1.386805,11.048891,1.704112,0.897803,0.800859,10.033120,2.185328,1.011488,0.547013,0.673157,2.728448,2.309915,2.460976,0.332880,2.359749,17.291072,0.686395,0.730000,0.929728,3.884379,0.598016,1.317504,1.366171,3.876203,2.012464,1.090523,6.038171,2.574661,0.010901,3.275072,0.958539,1.123616,1.127899,0.935179,1.294144,19.505211,9.700629,0.951141,2.024533,3.101429,1.327237,0.354683,0.602299,1.799499,1.016160,12.786485,0.436053,1.133349,2.770885,0.598405,5.672587,8.890816,0.864709,6.031552,1.284800,1.088187,0.677051,7.984448,188.094331,152,
256,1,5.213952,0.401792,2.436059,10.920411,7.495835,1.014603,0.592176,10.473456,2.919611,0.812149,0.522485,0.773216,2.941024,1.948224,1.848165,0.505355,2.623328,17.552315,1.028229,0.830448,0.976059,0.806309,1.476741,1.457275,2.007403,3.131408,1.474016,1.416784,6.197408,2.365589,0.000000,4.496800,0.841739,1.236133,1.225232,0.721435,1.208491,19.827189,10.281904,0.830448,2.037771,2.599189,0.610085,0.411136,0.399845,1.829867,1.006816,12.873307,0.222309,0.726885,3.188251,0.600352,5.475973,9.993408,0.806309,5.983275,1.417173,0.978005,0.652133,8.575067,195.21835199999995,129,
256,2,5.532816,0.410357,1.950949,11.256016,3.335029,0.877947,0.776720,10.974917,1.860624,1.005648,0.650965,0.851861,2.755701,2.343787,2.472656,0.663813,1.807285,16.768197,1.131792,1.132181,0.902864,0.668875,2.269035,1.562005,0.902085,3.528528,1.652331,0.982677,6.159253,2.238667,0.005451,3.676864,0.884176,1.396149,2.876395,0.817989,1.619237,19.769568,10.849552,1.110768,2.517040,3.272736,0.604245,0.523264,0.624880,1.404715,1.178901,12.923141,0.376096,1.137632,1.848555,0.874832,5.572139,12.263611,2.045557,5.508288,0.654469,1.095584,2.939467,6.092288,195.88916999999998,92,
256,3,5.771867,0.542731,0.867435,11.410192,2.477717,1.070277,0.955035,10.004699,2.877563,0.890405,0.754917,1.231851,2.337168,1.481024,2.624496,0.772048,2.402187,17.366992,0.745963,1.131013,1.053536,3.369291,2.259691,0.948805,0.984624,3.248597,1.388752,1.508667,6.062699,2.789573,0.020635,2.683675,1.225232,1.653888,3.005653,0.932453,1.543707,19.567504,10.155760,1.972363,1.343200,3.410171,0.987739,0.556357,0.647072,1.029397,1.091301,10.699659,0.379211,1.015381,3.561232,0.932453,5.741109,9.875440,1.174229,5.055883,1.301541,1.261440,0.736229,9.300784,194.1905129999999,74,
256,4,5.998069,0.459803,1.421067,11.434720,3.226795,0.778667,0.834341,10.146805,2.819552,0.806309,0.726885,0.700411,2.432555,1.012656,2.959712,0.291221,2.385445,18.114901,1.057429,3.532032,1.535531,1.690096,2.212581,1.899168,1.166443,3.689712,2.239056,1.496597,6.692251,2.024144,0.005840,4.104741,1.164885,1.248203,1.093637,1.016549,2.182603,19.837701,9.971605,1.017328,1.485696,3.350213,0.752192,0.509248,0.577381,0.843685,0.972944,12.935989,0.349621,1.278181,2.085659,0.866656,5.785493,10.350427,1.985600,5.567467,1.083515,1.064827,1.132181,10.058816,200.46383700000007,59,
256,5,5.379029,0.414640,2.290059,11.527381,7.694005,0.848747,0.897413,9.396949,2.373376,0.691845,0.710923,1.062101,3.314005,0.987349,3.414064,0.334048,1.825584,16.429477,1.659339,3.642992,1.991440,3.006821,2.300960,2.124981,1.562005,3.842720,2.609312,1.001755,6.452811,2.397904,0.005451,2.799307,1.227568,1.011877,1.262997,0.703915,3.240811,19.516891,9.139600,0.941019,1.506720,4.574277,1.043024,0.494064,0.484720,1.573296,1.181627,11.867659,0.446955,1.406661,2.139387,0.702747,5.905408,7.617307,0.849915,6.673952,0.876000,1.251317,0.795797,9.189045,202.61334900000006,58,
256,6,5.356837,0.527936,1.536699,11.188661,1.770299,0.857701,0.981509,7.224859,2.755701,0.761147,0.579717,0.879115,2.107461,2.102011,3.252880,0.223867,2.608533,18.660747,1.311664,1.380576,1.730197,1.361888,2.388560,1.549157,1.449099,3.192923,2.068139,1.148144,6.029995,2.788405,0.005840,2.619045,0.991632,1.673355,1.122837,0.925835,1.937323,18.754965,7.357621,0.976448,1.699440,4.066587,0.638117,0.432549,0.408800,0.871328,0.934400,13.725168,0.295115,1.075728,1.943163,0.599963,6.272549,2.475771,0.721435,3.930709,1.073781,1.083904,0.830059,10.099696,179.31759000000005,48,
512,0,5.486485,0.604245,2.164693,11.482608,2.542736,1.064827,1.168000,10.248811,1.435472,0.794629,0.601131,1.032123,2.621771,1.696715,3.713461,0.460581,1.894107,18.305285,0.842128,1.018885,1.111936,3.859461,1.947056,1.346704,1.754725,3.681147,1.710341,1.283632,6.160421,2.595296,0.052171,4.484731,1.369675,1.064437,1.509445,0.898971,1.505552,19.634080,9.641840,1.187077,1.818576,4.390901,0.731557,0.322368,0.492117,1.109211,0.977616,12.067387,0.303680,1.345147,2.122256,0.728832,5.725925,9.343611,0.953477,5.070677,1.307381,1.449877,0.631888,9.825216,196.695091,53,
512,1,5.499333,0.667707,2.315755,11.054731,9.687781,0.577771,0.990853,7.939285,3.111163,0.885344,0.875221,1.331131,2.010128,0.922331,2.286944,0.491728,1.991440,18.160453,1.133739,0.937515,1.306603,2.164693,2.096171,1.336971,2.809819,3.243147,1.973920,1.476352,5.835717,2.933627,0.000000,4.511595,1.023947,1.025115,1.083515,0.888069,1.819355,19.464331,8.610496,1.339696,1.392645,2.940245,0.545845,0.422816,0.483552,0.999029,1.039520,12.396373,0.465253,0.977616,2.770496,0.707029,6.146405,6.955051,1.050811,4.381947,1.134517,0.992021,2.951147,6.022597,192.58840700000007,46,
512,2,6.367157,0.420869,2.847584,9.804971,4.658763,0.565312,0.884176,7.201888,2.999424,1.056651,0.705083,1.039520,2.514704,1.511003,2.885739,0.798523,2.337947,19.760224,1.052757,1.124005,1.172672,2.414256,2.022197,1.249371,1.475573,3.562011,1.511392,1.073392,5.695168,2.411920,0.005840,2.499909,1.116608,1.292197,1.253653,1.234576,1.938880,16.163173,6.874069,1.159824,1.415616,3.582645,0.578160,0.504965,0.615925,1.123227,1.068331,12.221563,0.414251,1.259883,1.479856,0.854587,5.995733,2.848363,1.034459,4.815275,0.882619,1.140747,0.864320,9.647291,179.01079700000005,32,
512,3,5.902293,0.538837,2.460197,10.917685,7.179307,1.024336,0.859648,9.648459,3.598219,0.904032,0.706251,0.911429,2.269424,2.310304,2.741685,1.035237,2.142501,17.178165,1.000976,3.487259,0.972944,2.931291,2.129653,1.554608,1.013435,3.039136,1.755115,1.268837,5.604453,2.588677,0.021024,4.838245,0.939461,1.264944,1.141915,0.917269,2.035435,19.811616,9.701408,1.092859,1.247813,3.549552,0.604635,0.504187,0.579717,1.453771,0.928949,13.289893,0.469925,0.898581,2.091888,1.073392,5.743835,8.932085,1.649605,4.569995,1.191749,0.947248,0.704693,8.701989,200.57207100000005,34,
512,4,5.851291,0.580496,2.183381,11.943189,2.053344,0.881061,1.159045,8.303701,2.668880,1.217056,0.674715,1.314779,2.113691,1.517621,3.724752,0.212965,2.011296,16.680987,1.164107,1.923307,0.954645,1.278571,2.255019,1.272731,1.302709,3.197205,1.812347,1.214720,5.634821,2.747525,0.005840,2.922725,1.330741,0.991632,1.110768,1.027451,2.275653,19.754384,8.399088,0.802805,1.449488,4.473829,0.960875,0.623323,0.550128,1.014603,1.108043,12.452048,0.244501,0.890405,2.228544,0.760368,6.571947,5.810021,1.132571,4.081771,1.076896,1.516453,0.864709,9.180869,185.462436,25,
512,5,5.570581,0.562976,2.620603,11.432773,1.636368,0.851861,0.806699,9.278203,3.005653,2.657200,0.756475,0.881061,2.569600,1.660896,3.336976,0.120693,1.912795,19.883643,1.249760,1.327237,1.093248,1.156709,2.502245,1.915909,2.344565,3.201099,2.287333,1.285968,5.869200,2.695744,0.005840,3.516069,1.048475,1.185131,1.383301,0.815653,2.274485,19.592421,8.935979,1.036795,0.989685,5.011109,0.513920,0.384272,0.496400,0.843685,0.875611,12.591819,0.422816,1.290251,2.934405,0.590619,6.288123,4.061915,1.111936,5.287925,1.266891,1.495040,0.691067,8.976469,192.39218000000008,20,
512,6,5.597445,0.505744,1.747717,10.643984,1.448320,0.659531,1.085851,7.248608,2.616709,4.380779,0.723771,0.782949,2.433723,1.571349,3.536704,0.155344,2.113691,19.886368,1.096363,1.245477,0.967104,1.851280,2.346123,1.595488,1.861403,3.199152,2.223093,1.744603,5.581872,2.661483,0.005451,4.582064,1.207712,1.178512,1.838043,1.071445,2.561424,19.870405,7.335429,0.940240,1.174229,5.235755,0.373371,0.355461,0.591008,1.149312,0.719877,12.842549,0.389333,2.152235,3.072619,0.650187,5.737216,2.849531,1.742267,4.449691,1.096363,1.557333,0.767376,9.064848,190.07331399999998,15,
1024,0,5.470523,0.465253,2.292395,11.822107,1.613008,0.718709,0.911819,7.249776,1.949781,0.945691,0.582443,0.976448,3.139973,1.257547,2.166251,0.404517,2.374933,16.644000,0.890016,3.544880,0.995525,1.326069,1.958736,1.213552,0.861984,3.416400,1.696325,1.309717,5.857909,2.489787,0.005451,4.092283,0.991632,1.067552,1.370064,0.441504,5.431200,19.737253,7.155947,1.119333,1.806507,2.569211,1.306992,0.530661,0.407632,1.087797,0.827723,11.371259,0.531051,0.807867,3.614181,0.556357,5.959915,2.697301,0.660309,6.409205,1.068720,1.074171,0.675883,10.350816,182.27185100000003,18,
1024,1,5.651952,0.702747,1.667125,11.404741,1.359552,0.622544,1.300373,7.239653,2.942581,0.958539,0.719488,0.968661,2.708981,1.698272,2.671605,0.613979,2.807483,15.751259,0.857701,2.910656,1.720464,2.046725,2.606976,1.204208,1.351765,3.391872,1.363056,1.275067,5.915920,2.372597,0.026475,2.948811,1.669461,1.356048,1.239637,1.046139,2.561424,19.883643,7.010725,0.955424,0.355461,3.409003,0.907925,0.588672,0.502629,1.057429,1.045749,12.799333,0.367920,1.333467,2.221147,0.931285,6.169376,2.937909,1.044581,6.207531,1.258325,1.514896,0.744016,9.655856,182.55683900000002,12,
1024,2,5.949792,0.573877,3.122843,11.342059,2.121088,0.675493,1.094805,7.180475,3.129461,1.155152,0.710923,1.151648,3.346709,0.846411,2.772443,0.629163,1.907733,18.124245,0.999808,3.466235,1.219003,3.614960,2.169365,1.382912,1.014213,3.478304,1.851280,0.956981,5.831824,2.501467,0.006229,2.263584,1.297259,1.330352,1.070667,0.764651,3.713851,19.814731,7.015787,1.330352,0.267472,3.343984,1.264944,0.470704,0.483552,1.095973,1.350208,12.825419,0.283435,1.511392,2.221147,0.768155,5.894896,2.881067,1.058987,7.078080,0.692624,1.373179,0.854587,10.098917,188.74685700000003,13,
1024,3,5.855963,0.470315,2.637344,11.317920,1.667904,0.835509,1.109211,10.250757,2.811765,0.928560,0.715205,1.045360,3.029403,1.852448,3.048091,0.659920,1.933819,18.945349,0.736619,3.481029,0.765040,0.537669,1.533584,0.960875,1.005259,3.381360,1.554608,1.051589,5.835717,2.703920,0.005451,2.016357,1.251707,1.383691,1.013045,0.810981,4.622944,19.553099,9.803413,1.013824,0.304459,3.904624,0.967883,0.512752,0.461749,1.029008,0.998640,11.725941,0.473040,1.559280,2.997477,0.840181,5.848176,9.502069,0.916101,6.841365,1.073392,1.539035,0.723771,9.789787,196.14535400000005,13,
1024,4,5.354112,0.443451,2.383888,11.261856,1.029397,0.881840,1.544485,6.941424,2.257744,0.777888,0.628773,0.991243,2.887685,1.801056,2.791909,0.293557,1.951728,19.345195,1.023557,3.630144,0.335216,0.585557,2.170533,1.416005,1.180848,3.064053,1.862960,0.864320,5.978213,2.302517,0.031925,4.699643,1.759397,1.255600,1.138800,0.329376,4.898592,19.574512,6.964395,0.861595,2.064245,3.481808,1.060933,0.276037,0.304848,1.117776,0.707808,11.456912,0.417365,1.296480,2.683675,0.523264,5.605232,2.814101,1.308939,6.712885,0.906757,2.054512,0.570373,9.913984,184.77292299999993,6,
1024,5,5.543717,0.383883,2.255408,11.753973,0.745963,0.638507,1.213163,6.922736,2.818773,0.892741,0.581275,0.976448,3.122843,1.660896,2.927787,0.459024,1.909680,10.272560,1.060544,3.880096,1.210827,0.455909,2.624107,1.325291,1.109989,3.056267,1.590816,1.074560,5.792501,2.893525,0.000000,4.178325,1.379797,1.452992,0.859648,0.158459,4.625280,19.731803,7.284427,0.659920,0.268640,3.508283,1.062880,0.321589,0.336773,1.275067,0.868992,12.167445,0.513920,1.270784,2.309525,0.718320,6.531845,3.203045,1.023947,6.768949,1.152816,1.632085,0.619429,9.909312,176.948106,5,
1024,6,5.543717,0.383883,2.255408,11.753973,0.745963,0.638507,1.213163,6.922736,2.818773,0.892741,0.581275,0.976448,3.122843,1.660896,2.927787,0.459024,1.909680,10.272560,1.060544,3.880096,1.210827,0.455909,2.624107,1.325291,1.109989,3.056267,1.590816,1.074560,5.792501,2.893525,0.000000,4.178325,1.379797,1.452992,0.859648,0.158459,4.625280,19.731803,7.284427,0.659920,0.268640,3.508283,1.062880,0.321589,0.336773,1.275067,0.868992,12.167445,0.513920,1.270784,2.309525,0.718320,6.531845,3.203045,1.023947,6.768949,1.152816,1.632085,0.619429,9.909312,176.948106,5,