TTT,HandoverMargin,Sum_Throughput(Mbps),Handover_Count
128,0,194.02076199999996,312,
128,1,187.7505469999999,190,
128,2,200.596603,183,
128,3,192.22749100000007,205,
128,4,193.07546200000004,150,
128,5,193.854128,142,
128,6,193.847507,114,
256,0,188.094331,152,
256,1,195.21835199999995,129,
256,2,195.88916999999998,92,
256,3,194.1905129999999,74,
256,4,200.46383700000007,59,
256,5,202.61334900000006,58,
256,6,179.31759000000005,48,
512,0,196.695091,53,
512,1,192.58840700000007,46,
512,2,179.01079700000005,32,
512,3,200.57207100000005,34,
512,4,185.462436,25,
512,5,192.39218000000008,20,
512,6,190.07331399999998,15,
1024,0,182.27185100000003,18,
1024,1,182.55683900000002,12,
1024,2,188.74685700000003,13,
1024,3,196.14535400000005,13,
1024,4,184.77292299999993,6,
1024,5,176.948106,5,
1024,6,176.948106,5,